"fips","POP","DENSITY","medianAge","MedianHInc","per_dem","per_gop"
39035,1243857,2720.6861256,40.3,48435,0.658357766233,0.308444353
39037,51323,85.810038108,41.8,52691,0.1758,0.78792
39039,38165,92.757380038,40.6,57665,0.296824950829,0.645012644001
39041,204826,462.19412824,38.6,104322,0.395440604989,0.556038401215
39043,74615,296.75628745,44.8,52270,0.427225701062,0.525483256194
39045,155782,308.84022905,39.3,66175,0.342349238751,0.611876612515
39047,28666,70.543201358,40.7,46478,0.247018581862,0.717666635851
39049,1310300,2461.0573061,34,58762,0.605650509905,0.346717479913
39051,42276,104.27029796,40.8,60231,0.289034939351,0.648480162374
39053,29979,64.259439158,40.6,42113,0.203686050207,0.760009532888
39055,94031,234.90055104,44.6,79956,0.352203709783,0.606881976362
39057,167995,406.15361862,38.1,67109,0.351901849736,0.596561726922
39059,39022,74.718453789,42.5,43975,0.265288437732,0.691012626888
39061,816684,2011.8071924,36.8,54976,0.525536708861,0.430308860759
39063,75930,142.91005448,39.2,55644,0.267463652885,0.675176056338
39065,31480,66.92109134,35.5,48773,0.238887964042,0.710920592642
39067,15174,37.715208146,46,48462,0.239074180564,0.721822886717
39069,27086,65.108977533,41.3,59083,0.26991441738,0.668275912516
39071,43058,77.850792979,40.4,43297,0.201548568747,0.762846081652
39073,28385,67.370464718,42.9,50000,0.296731399345,0.66187165348
39075,43892,103.87348682,31.3,62111,0.16317102467,0.792571375774
39077,58504,119.03282408,39.6,51559,0.290974847937,0.654693407858
39079,32384,77.047817368,40.1,45340,0.237329103407,0.726489916157
39081,65767,161.14453572,44.8,44819,0.302526638168,0.65935047534
39083,61893,117.77804133,38.9,55131,0.286624891962,0.668503313166
39085,230514,1005.4247873,43.7,63475,0.399468037947,0.555253125277
39087,59866,132.04646933,41.6,44372,0.263940806968,0.702917260781
39089,175769,257.56055373,39.7,62715,0.331994105719,0.621493973476
39091,45358,98.93903312,40.8,55150,0.215975627172,0.741943161803
39093,309461,629.99196211,41.8,56965,0.475346495529,0.478185783073
39095,429899,1261.7721832,37.9,46924,0.560104129713,0.386584169779
39097,44413,95.341324959,40.7,65264,0.278261907604,0.675599856751
39099,229642,558.05275835,43.5,44682,0.498001364922,0.468043996561
39101,65256,161.62179767,41.3,45464,0.302089831566,0.645781347473
39103,179146,425.12665803,41.9,74243,0.35342435094,0.602182184423
39105,23106,53.722196117,43.6,43591,0.229224229543,0.729968119022
39107,40959,88.570797794,39.9,59417,0.156462585034,0.806943467042
39109,106222,261.30232233,41.6,57544,0.249324810072,0.705520041969
39111,13790,30.259592313,46.3,43956,0.246335626683,0.715076278792
39113,532331,1153.5030898,39.3,49314,0.471473793877,0.483915691617
39115,14604,35.069858004,44.3,41731,0.272019077901,0.686009538951
39117,35112,86.454318197,41.7,56010,0.229272210552,0.724206104041
39119,86183,129.68743828,40.2,45276,0.301681530773,0.651296352542
39121,14354,36.064233876,49.7,47456,0.204425531915,0.755914893617
39123,40769,160.04225802,49,57918,0.374206604728,0.569818783921
39125,18760,45.049064511,42,51933,0.233883736711,0.719181180728
39127,36033,88.330450407,39.9,48811,0.278009148631,0.681231651533
39129,58086,115.8854543,39.4,62214,0.265600067187,0.69211388259
39131,28067,63.747815253,40.8,43729,0.299053244159,0.666116563884
39133,162927,334.27518068,37.9,56618,0.425359614969,0.526957603288
39135,40997,96.63944105,42.6,55374,0.211135531136,0.750964590965
39137,33780,70.003955357,40,62001,0.156306085822,0.799695436994
39139,121099,244.54716952,41.3,47346,0.290831612051,0.666275889019
39141,76931,111.62569215,40.9,48403,0.342082541875,0.615886720774
39143,58799,143.95469686,41.8,51701,0.354043141392,0.583645556728
39145,75502,123.72713112,39.9,39731,0.298500911608,0.666554122493
39147,55207,100.18939417,39.4,49936,0.308206635152,0.620033218347
